id,title,link,sources,date,coord
EONET_6640,"Kerinci Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6640,https://volcano.si.edu/volcano.cfm?vn=261170,5/28/2024,"[101.264, -1.697]"
EONET_6638,"Dempo Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6638,https://volcano.si.edu/volcano.cfm?vn=261230,5/27/2024,"[103.121, -4.016]"
EONET_6639,"Whakaari/White Island Volcano, New Zealand",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6639,https://volcano.si.edu/volcano.cfm?vn=241040,5/24/2024,"[177.18, -37.52]"
EONET_6525,"Villarrica Volcano, Chile",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6525,https://volcano.si.edu/volcano.cfm?vn=357120,5/18/2024,"[-71.93, -39.42]"
EONET_6524,"Concepción Volcano, Nicaragua",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6524,https://volcano.si.edu/volcano.cfm?vn=344120,5/16/2024,"[-85.622, 11.538]"
EONET_6516,"Ubinas Volcano, Peru",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6516,https://volcano.si.edu/volcano.cfm?vn=354020,5/6/2024,"[-70.8972, -16.345]"
EONET_6514,"Tofua Volcano, Tonga",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6514,https://volcano.si.edu/volcano.cfm?vn=243060,4/28/2024,"[-175.07, -19.75]"
EONET_6515,"Sheveluch Volcano, Russia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6515,https://volcano.si.edu/volcano.cfm?vn=300270,4/28/2024,"[161.36, 56.653]"
EONET_6517,"Yasur Volcano, Vanuatu",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6517,https://volcano.si.edu/volcano.cfm?vn=257100,4/25/2024,"[169.447, -19.532]"
EONET_6511,"Bagana Volcano, Papua New Guinea",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6511,http://volcano.si.edu/volcano.cfm?vn=255020,4/22/2024,"[155.196, -6.137]"
EONET_6509,"Ruang Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6509,https://earthobservatory.nasa.gov/images/152716/a-blanket-of-ash-from-ruang,4/16/2024,"[125.37, 2.3]"
EONET_6507,"Poas Volcano, Costa Rica",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6507,https://volcano.si.edu/volcano.cfm?vn=345040,3/29/2024,"[-84.233, 10.2]"
EONET_6500,"Fernandina Volcano, Ecuador",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6500,https://earthobservatory.nasa.gov/images/152538/an-eruption-for-galapagos-iguanas,3/2/2024,"[-91.55, -0.37]"
EONET_6470,"Lewotobi Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6470,https://volcano.si.edu/volcano.cfm?vn=264180,12/28/2023,"[122.775, -8.542]"
EONET_6468,"Reykjanes Volcano, Iceland",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6468,https://www.earthdata.nasa.gov/worldview/worldview-image-archive/sundhnukur-crater-row-eruption-iceland,12/19/2023,"[-22.717, 63.817]"
EONET_6462,"Marapi Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6462,https://volcano.si.edu/volcano.cfm?vn=261140,12/3/2023,"[100.474, -0.38]"
EONET_6452,"Dukono Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6452,https://volcano.si.edu/volcano.cfm?vn=268010,11/7/2023,"[127.8783, 1.6992]"
EONET_6369,"Ibu Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6369,https://volcano.si.edu/volcano.cfm?vn=268030,6/6/2023,"[127.63, 1.488]"
EONET_6319,"Lewotolok Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6319,http://volcano.si.edu/volcano.cfm?vn=264230,1/14/2023,"[123.505, -8.272]"
EONET_6309,"Nevado del Ruiz Volcano, Colombia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6309,https://volcano.si.edu/volcano.cfm?vn=351020,12/3/2022,"[-75.324, 4.892]"
EONET_6175,"Stromboli Volcano, Italy",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6175,http://volcano.si.edu/volcano.cfm?vn=211040,8/7/2022,"[15.213, 38.789]"
EONET_6104,"Aira Volcano, Japan",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6104,http://volcano.si.edu/volcano.cfm?vn=282080,6/27/2022,"[130.657, 31.593]"
EONET_6102,"Ebeko Volcano, Russia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6102,http://volcano.si.edu/volcano.cfm?vn=290380,6/23/2022,"[156.014, 50.686]"
EONET_6017,"Popocatepetl Volcano, Mexico",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6017,https://earthobservatory.nasa.gov/images/event/46710,2/8/2022,"[-98.622, 19.023]"
EONET_5959,"Great Sitkin Volcano, Andreanof Islands (U.S.)",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_5959,https://volcano.si.edu/volcano.cfm?vn=311120,10/19/2021,"[-176.13, 52.076]"
EONET_5202,"Merapi Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_5202,http://volcano.si.edu/volcano.cfm?vn=263250,1/7/2021,"[110.446, -7.54]"
EONET_4768,"Suwanosejima Volcano, Japan",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_4768,http://volcano.si.edu/volcano.cfm?vn=282030,7/12/2020,"[129.71, 29.63]"
EONET_4624,"Santa Maria Volcano, Guatemala",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_4624,http://volcano.si.edu/volcano.cfm?vn=342030,3/18/2020,"[-91.552, 14.757]"
EONET_4561,"Semeru Volcano, Indonesia",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_4561,http://volcano.si.edu/volcano.cfm?vn=263300,1/18/2020,"[112.922, -8.108]"
EONET_4269,"Reventador Volcano, Ecuador",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_4269,http://volcano.si.edu/volcano.cfm?vn=352010,7/10/2019,"[-77.65, -0.07]"
EONET_4156,"Sangay Volcano, Ecuador",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_4156,http://volcano.si.edu/volcano.cfm?vn=352090,3/26/2019,"[-78.341, -2.005]"
EONET_2654,"Sabancaya Volcano, Peru",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_2654,https://earthobservatory.nasa.gov/NaturalHazards/event.php?id=90273,11/7/2016,"[-71.85, -15.78]"
EONET_980,"Fuego Volcano, Guatemala",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_980,http://emergency.copernicus.eu/mapping/list-of-components/EMSR289,1/4/2002,"[-90.88, 14.473]"
