date,Impact energy (kt),Velocity (kps),altitude (km),coord
6/18/2024,0.079,16.2,28.7,0
6/18/2024,1.2,35.4,44.3,"(('44.3', 'N'), ('173.2', 'E'))"
6/3/2024,0.092,0,60,"(('63.1', 'S'), ('53.2', 'W'))"
6/1/2024,0.25,12.6,26.5,"(('1.0', 'S'), ('15.9', 'W'))"
5/27/2024,0.26,39.2,56,"(('1.7', 'N'), ('39.4', 'W'))"
5/24/2024,0.18,36.5,42,"(('6.6', 'N'), ('114.2', 'E'))"
5/18/2024,0.13,40.4,74.3,"(('41.0', 'N'), ('8.8', 'W'))"
5/15/2024,0.098,0,64.2,"(('49.8', 'N'), ('54.1', 'W'))"
5/5/2024,0.13,13.9,39,"(('7.1', 'S'), ('112.7', 'W'))"
4/9/2024,0.11,0,36.3,"(('36.5', 'N'), ('37.8', 'W'))"
3/17/2024,0.13,25.6,42.1,"(('27.6', 'N'), ('117.2', 'E'))"
2/26/2024,0.13,31.3,33.1,"(('22.9', 'N'), ('57.1', 'E'))"
2/5/2024,0.15,14.4,23,"(('13.8', 'S'), ('123.7', 'E'))"
12/30/2023,0.6,28.3,37,"(('63.4', 'S'), ('79.9', 'E'))"
12/11/2023,0.36,26,31.7,"(('53.6', 'S'), ('146.0', 'E'))"
12/5/2023,0.076,20.6,24.1,"(('10.0', 'N'), ('42.9', 'E'))"
11/21/2023,0.13,18.3,37,"(('9.4', 'S'), ('17.4', 'E'))"
10/30/2023,0.092,17.6,33.8,"(('42.9', 'S'), ('44.7', 'W'))"
10/26/2023,0.78,30.2,44.2,"(('45.9', 'N'), ('174.8', 'W'))"
10/23/2023,0.18,0,39,"(('49.6', 'S'), ('75.4', 'E'))"
10/16/2023,0.1,19.8,35.3,"(('6.5', 'S'), ('65.4', 'W'))"
10/14/2023,0.18,19.3,37,"(('8.4', 'S'), ('161.9', 'W'))"
9/28/2023,0.16,0,37,"(('13.2', 'N'), ('72.4', 'E'))"
9/7/2023,0.076,0,0,"(('27.0', 'N'), ('150.8', 'E'))"
9/3/2023,0.082,0,37,"(('43.2', 'S'), ('102.2', 'E'))"
8/17/2023,0.25,16.1,35.4,"(('48.6', 'N'), ('100.1', 'E'))"
8/5/2023,3.8,21.8,44,"(('19.9', 'N'), ('131.7', 'W'))"
